"Occupation Code","Occupational Title","subtot","Occupation Group","2018 Employment","2028 Employment","Numeric Change","Percent Change","Labor Force Exits","Occupational Transfers","Total Separations","Percent Labor Force Exits","Percent Occupational Transfers","Occupational Openings","10th Percentile","25th Percentile","Median","75th Percentile","90th Percentile","Education","Work Experience"
"274030","Television, Video, and Motion Picture Camera Opera","3","Arts/Entertainment","69.200000","77.100000","7.900000","11.4000","1.900000","5.200000","7.100000","26.800000000000000000","73.200000000000000000","7.900000","29650","41560","59810","90370","142540","N/A","N/A"
"274031","Camera Operators, Television, Video, and Motion Pi","5","Arts/Entertainment","29.400000","31.800000","2.400000","8.1000",".800000","2.200000","3.000000","26.700000000000000000","73.300000000000000000","3.200000","26560","37180","55160","78120","110790","Bachelor's degree","None"
"274032","Film and Video Editors","5","Arts/Entertainment","39.800000","45.300000","5.500000","13.9000","1.100000","3.000000","4.100000","26.800000000000000000","73.200000000000000000","4.700000","32750","45310","63780","99220","168320","Bachelor's degree","None"
"274099","Media and Communication Equipment Workers, All Oth","5","Arts/Entertainment","21.200000","21.900000",".600000","2.9000",".700000","1.600000","2.300000","30.400000000000000000","69.600000000000000000","2.400000","","","","","","High school diploma or equivalent","None"
"290000","Healthcare Practitioners and Technical Occupations","2","Health Practitioners","9107.800000","10190.400000","1082.600000","11.9000","250.600000","291.400000","542.000000","46.200000000000000000","53.800000000000000000","650.300000","34630","48990","68190","97400","144370","N/A","N/A"
"291000","Health Diagnosing and Treating Practitioners","3","Health Practitioners","5724.800000","6459.800000","735.000000","12.8000","146.800000","146.700000","293.500000","50.000000000000000000","50.000000000000000000","367.000000","53040","63960","82380","116320","175760","N/A","N/A"
"291011","Chiropractors","5","Health Practitioners","50.300000","54.100000","3.700000","7.4000",".900000",".500000","1.400000","64.300000000000000000","35.700000000000000000","1.800000","35290","52800","70340","97760","147480","Doctoral or professional degree","None"
"291020","Dentists","3","Health Practitioners","155.000000","166.600000","11.600000","7.5000","3.500000","1.400000","4.900000","71.400000000000000000","28.600000000000000000","6.000000","79670","113880","159200","","","N/A","N/A"
"291021","Dentists, General","5","Health Practitioners","136.900000","147.400000","10.400000","7.6000","3.100000","1.200000","4.300000","72.100000000000000000","27.900000000000000000","5.300000","80850","113060","155600","","","Doctoral or professional degree","None"
"291022","Oral and Maxillofacial Surgeons","5","Health Practitioners","5.900000","6.300000",".400000","7.4000",".100000",".100000",".200000","50.000000000000000000","50.000000000000000000",".200000","65360","173470","","","","Doctoral or professional degree","None"
"291023","Orthodontists","5","Health Practitioners","6.500000","7.000000",".500000","7.3000",".100000",".100000",".200000","50.000000000000000000","50.000000000000000000",".300000","73490","139330","","","","Doctoral or professional degree","None"
"291024","Prosthodontists","5","Health Practitioners",".500000",".500000",".000000","7.3000",".000000",".000000",".000000",".000000000000000000",".000000000000000000",".000000","96060","127690","","","","Doctoral or professional degree","None"
"291029","Dentists, All Other Specialists","5","Health Practitioners","5.200000","5.400000",".200000","4.7000",".100000",".000000",".100000","100.000000000000000000",".000000000000000000",".200000","94240","113830","147220","","","Doctoral or professional degree","None"
"291031","Dietitians and Nutritionists","5","Health Practitioners","70.900000","78.900000","8.000000","11.2000","2.400000","2.300000","4.700000","51.100000000000000000","48.900000000000000000","5.500000","38890","50220","61270","74900","87360","Bachelor's degree","None"
"291041","Optometrists","5","Health Practitioners","42.100000","46.100000","4.000000","9.5000",".800000",".500000","1.300000","61.500000000000000000","38.500000000000000000","1.700000","59200","87780","115250","142790","194100","Doctoral or professional degree","None"
"291051","Pharmacists","5","Health Practitioners","314.300000","314.100000","-.100000",".0000","7.400000","6.700000","14.100000","52.500000000000000000","47.500000000000000000","14.100000","88400","112140","128090","148660","162900","Doctoral or professional degree","None"
"291060","Physicians and Surgeons","3","Health Practitioners","756.800000","812.200000","55.400000","7.3000","12.900000","10.100000","23.000000","56.100000000000000000","43.900000000000000000","28.500000","","","","","","N/A","N/A"
"291061","Anesthesiologists","5","Health Practitioners","34.500000","36.000000","1.500000","4.5000",".600000",".500000","1.100000","54.500000000000000000","45.500000000000000000","1.200000","","","","","","Doctoral or professional degree","None"
"291062","Family and General Practitioners","5","Health Practitioners","126.600000","139.000000","12.400000","9.8000","2.200000","1.700000","3.900000","56.400000000000000000","43.600000000000000000","5.100000","","","","","","Doctoral or professional degree","None"
"291063","Internists, General","5","Health Practitioners","42.800000","44.400000","1.600000","3.7000",".700000",".600000","1.300000","53.800000000000000000","46.200000000000000000","1.400000","","","","","","Doctoral or professional degree","None"
